,match_no,date,cleaned_venue,match_type,home_team,away_team,home_team_abbrev,away_team_abbrev,home_score_runs,away_score_runs,home_target,away_target,result_outcome,balls_remaining,winning_margin,winning_type,home_win,away_win,winner,win,loss,toss_winner,toss_decision,player_of_the_match,most_runs,most_wkts
43,14th,2024-04-01,Mumbai,Night,Mumbai Indians,Rajasthan Royals,MI,RR,125/9,127/4 ,0,126,RR won by 6 wkts ,27,6,Wickets,False,True,RR,RR,MI,Rajasthan,Field,Sanju Samson,KL Rahul,Sandeep Sharma
48,24th,2024-04-10,Jaipur,Night,Rajasthan Royals,Gujarat Titans,RR,GT,196/3,199/7 ,0,197,GT won by 3 wkts ,0,3,Wickets,False,True,GT,GT,RR,Punjab,Field,Harpreet Brar,Ruturaj Gaikwad,Rahul Chahar
17,25th,2024-04-11,Mumbai,Night,Mumbai Indians,Royal Challengers Bengaluru,MI,RCB,199/3 ,196/8,197,0,MI won by 7 wkts ,27,7,Wickets,True,False,MI,MI,RCB,Hyderabad,Field,Abhishek Sharma,Aiden Markram,Moeen Ali
49,26th,2024-04-12,Lucknow,Night,Lucknow Super Giants,Delhi Capitals,LSG,DC,167/7,170/4 ,0,168,DC won by 6 wkts ,11,6,Wickets,False,True,DC,DC,LSG,Hyderabad,Bat,Bhuvneshwar Kumar,Riyan Parag ,Bhuvneshwar Kumar
50,27th,2024-04-13,Mohali,Night,Punjab Kings,Rajasthan Royals,PBKS,RR,147/8,152/7 ,0,148,RR won by 3 wkts ,1,3,Wickets,False,True,RR,RR,PBKS,Mumbai,Field,Venkatesh Iyer,Venkatesh Iyer,Mitchell Starc
51,29th,2024-04-14,Mumbai,Night,Mumbai Indians,Chennai Super Kings,MI,CSK,186/6 ,206/4,207,0,CSK won by 20 runs,0,20,Runs,False,True,CSK,CSK,MI,Banglore,Field,Mohammed Siraj,Faf du Plessis,Josh Little
18,28th,2024-04-14,Kolka,Day/Night,Kolkata Knight Riders,Lucknow Super Giants,KKR,LSG,162/2 ,161/7,162,0,KKR won by 8 wkts ,26,8,Wickets,True,False,KKR,KKR,LSG,Rajasthan,Field,Jos Buttler,Virat Kohli,Reece Topley
52,30th,2024-04-15,Bengaluru,Night,Royal Challengers Bengaluru,Sunrisers Hyderabad,RCB,SRH,262/7 ,287/3,288,0,SRH won by 25 runs,0,25,Runs,False,True,SRH,SRH,RCB,Punjab,Field,Ravindra Jadeja,Ravindra Jadeja,Ravindra Jadeja
53,31st,2024-04-16,Kolka,Night,Kolkata Knight Riders,Rajasthan Royals,KKR,RR,223/6,224/8 ,0,224,RR won by 2 wkts ,0,2,Wickets,False,True,RR,RR,KKR,Lucknow,Field,Sunil Narine,Sunil Narine,Harshit Rana
54,32nd,2024-04-17,Ahmedabad,Night,Gujarat Titans,Delhi Capitals,GT,DC,89,92/4 ,0,90,DC won by 6 wkts ,67,6,Wickets,False,True,DC,DC,GT,Mumbai,Field,Suryakumar Yadav,Suryakumar Yadav,Hardik Pandya
55,33rd,2024-04-18,Mohali,Night,Punjab Kings,Mumbai Indians,PBKS,MI,183 ,192/7,193,0,MI won by 9 runs,0,9,Runs,False,True,MI,MI,PBKS,Rajasthan,Field,Kuldeep Yadav,Sanju Samson,Ravichandran Ashwin
19,34th,2024-04-19,Lucknow,Night,Lucknow Super Giants,Chennai Super Kings,LSG,CSK,180/2 ,176/6,177,0,LSG won by 8 wkts ,6,8,Wickets,True,False,LSG,LSG,CSK,Delhi,Field,Romario Shepherd,Tristan Stubbs ,Gerald Coetzee
44,15th,2024-04-02,Bengaluru,Night,Royal Challengers Bengaluru,Lucknow Super Giants,RCB,LSG,153 ,181/5,182,0,LSG won by 28 runs,0,28,Runs,False,True,LSG,LSG,RCB,Banglore,Field,Will Jacks,Will Jacks,Swapnil Singh
56,35th,2024-04-20,Delhi,Night,Delhi Capitals,Sunrisers Hyderabad,DC,SRH,199 ,266/7,267,0,SRH won by 67 runs,0,67,Runs,False,True,SRH,SRH,DC,Lucknow,Bat,Travis Head,Travis Head,Bhuvneshwar Kumar
57,37th,2024-04-21,Mohali,Night,Punjab Kings,Gujarat Titans,PBKS,GT,142,146/7 ,0,143,GT won by 3 wkts ,5,3,Wickets,False,True,GT,GT,PBKS,Punjab,Field,Virat Kohli,Virat Kohli,Harshal Patel
20,36th,2024-04-21,Kolka,Day/Night,Kolkata Knight Riders,Royal Challengers Bengaluru,KKR,RCB,222/6,221 ,0,223,KKR won by 1 run,0,1,,True,False,KKR,KKR,RCB,Lucknow,Bat,Yash Thakur,Marcus Stoinis,Yash Thakur
21,38th,2024-04-22,Jaipur,Night,Rajasthan Royals,Mumbai Indians,RR,MI,183/1 ,179/9,180,0,RR won by 9 wkts ,8,9,Wickets,True,False,RR,RR,MI,Chennai,Field,Ravindra Jadeja,Ruturaj Gaikwad,Ravindra Jadeja
